state,population
AL,5157699
AK,740133
AZ,7582384
AR,3088354
CA,39431263
CO,5957493
CT,3675069
DE,1051917
DC,702250
FL,23372215
GA,11180878
HI,1446146
ID,2001619
IL,12710158
IN,6924275
IA,3241488
KS,2970606
KY,4588372
LA,4597740
ME,1405012
MD,6263220
MA,7136171
MI,10140459
MN,5793151
MS,2943045
MO,6245466
MT,1137233
NE,2005465
NV,3267467
NH,1409032
NJ,9500851
NM,2130256
NY,19867248
NC,11046024
ND,796568
OH,11883304
OK,4095393
OR,4272371
PA,13078751
RI,1112308
SC,5478831
SD,924669
TN,7227750
TX,31290831
UT,3503613
VT,648493
VA,8811195
WA,7958180
WV,1769979
WI,5960975
WY,587618